created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2025-03-26T18:44:29+00:00,55,15.06,52.94,1168.27,,,,
2025-03-26T18:44:44+00:00,56,6.96,26.82,1354.25,,,,
2025-03-26T18:44:59+00:00,57,46.73,9.82,1136.57,,,,
2025-03-26T18:45:14+00:00,58,-9.38,84.68,1772.26,,,,
2025-03-26T18:45:29+00:00,59,-30.59,7.2,1629.93,,,,
2025-03-26T18:45:44+00:00,60,-2.83,17.18,1253.15,,,,
2025-03-26T18:45:59+00:00,61,29.4,96.13,781.8,,,,
2025-03-26T18:46:14+00:00,62,46.54,53.72,1704.12,,,,
2025-03-26T18:46:29+00:00,63,-36.91,5.11,371.18,,,,
2025-03-26T18:46:44+00:00,64,45.29,41.69,1646.85,,,,
2025-03-26T18:46:59+00:00,65,1.7,98.68,1260.45,,,,
2025-03-26T18:47:14+00:00,66,14.71,17.59,521.02,,,,
2025-03-26T18:47:29+00:00,67,28.88,29.66,363.81,,,,
2025-03-26T18:47:44+00:00,68,-14.47,87.28,1563.96,,,,
2025-03-26T18:47:59+00:00,69,43.93,14.93,1631.11,,,,
2025-03-26T18:48:14+00:00,70,-28.76,74.27,593.97,,,,
2025-03-26T18:48:29+00:00,71,40.46,99.66,1290.84,,,,
2025-03-26T18:48:44+00:00,72,-23.87,34.5,840.08,,,,
2025-03-26T18:48:59+00:00,73,-41.62,96.69,1850.5,,,,
2025-03-26T18:49:14+00:00,74,-13.17,66.4,635.89,,,,
2025-03-26T18:49:29+00:00,75,42.51,96.93,349.5,,,,
2025-03-26T18:49:44+00:00,76,39.46,50.86,1361.69,,,,
2025-03-26T18:49:59+00:00,77,8.33,7.85,1438.11,,,,
2025-03-26T18:50:14+00:00,78,10.5,40.3,689.22,,,,
2025-03-26T18:50:29+00:00,79,49.01,47.84,844.35,,,,
2025-03-26T18:50:44+00:00,80,7.07,79.81,1396.2,,,,
2025-03-26T18:50:59+00:00,81,-43.51,64.97,1423.26,,,,
2025-03-26T18:51:14+00:00,82,13.7,36.9,1859.87,,,,
2025-03-26T18:51:29+00:00,83,2.92,50.53,1012.83,,,,
2025-03-26T18:51:44+00:00,84,3.2,27.44,1027.64,,,,
2025-03-26T18:51:59+00:00,85,3.2,95.52,367.19,,,,
2025-03-26T18:52:14+00:00,86,-7.5,94.99,1296.49,,,,
2025-03-26T18:52:29+00:00,87,-44.37,97.16,1676.07,,,,
2025-03-26T18:52:44+00:00,88,48.15,12.45,1316.9,,,,
2025-03-26T18:52:59+00:00,89,42.94,76.4,1801.32,,,,
2025-03-26T18:53:14+00:00,90,-33.53,37.09,561.04,,,,
2025-03-26T18:53:29+00:00,91,-46.88,53.41,1086.45,,,,
2025-03-26T18:53:44+00:00,92,-19.75,39.48,360.29,,,,
2025-03-26T19:02:59+00:00,93,-21.86,48.89,1675.31,,,,
2025-03-26T19:03:14+00:00,94,9.82,41.56,770.03,,,,
2025-03-26T19:05:01+00:00,95,24.36,3.83,1624.47,,,,
2025-03-26T19:05:15+00:00,96,12.78,86.34,457.69,,,,
2025-03-27T00:31:42+00:00,97,1.15,23.89,1067.57,,,,
